ID,POSITION
0,5
1,7
2,9
3,1
4,0
5,1
6,6
7,2
8,5
9,7
10,8
11,2
12,8
13,5
14,9
15,3
16,2
17,1
18,3
19,3
20,1
21,1
22,6
23,1
24,6
25,0
26,6
27,5
28,1
29,3
30,1
31,6
32,9
33,6
34,5
35,4
36,5
37,3
38,4
39,6
40,2
41,4
42,5
43,1
44,6
45,7
46,6
47,1
48,4
49,5
50,4
51,2
52,8
53,8
54,9
55,2
56,1
57,6
58,7
59,6
60,8
61,1
62,5
63,6
64,4
65,8
66,4
67,6
68,7
69,2
70,9
71,4
72,9
73,6
74,1
75,8
76,4
77,5
78,3
79,6
80,7
81,6
82,9
83,6
84,4
85,0
86,4
87,9
88,3
89,7
90,4
91,5
92,1
93,0
94,9
95,3
96,9
97,6
98,7
99,2
100,2
101,6
102,3
103,5
104,2
105,9
106,9
107,4
108,1
109,0
110,9
111,6
112,0
113,7
114,0
115,6
116,0
117,3
118,0
119,6
120,8
121,0
122,1
123,7
124,8
125,0
126,1
127,1
128,5
129,9
130,9
131,2
132,7
133,6
134,9
135,4
136,4
137,5
138,4
139,2
140,1
141,6
142,3
143,6
144,6
145,4
146,8
147,1
148,0
149,6
150,1
151,1
152,4
153,4
154,2
155,5
156,6
157,9
158,8
159,1
160,9
161,7
162,9
163,5
164,5
165,5
166,3
167,1
168,0
169,0
170,4
171,0
172,3
173,6
174,5
175,0
176,8
177,1
178,7
179,5
180,4
181,4
182,4
183,4
184,8
185,4
186,6
187,8
188,7
189,8
190,6
191,2
192,2
193,4
194,4
195,3
196,1
197,0
198,5
199,3
200,0
201,1
202,3
203,0
204,2
205,7
206,6
207,5
208,0
209,1
210,1
211,1
212,2
213,2
214,8
215,3
216,2
217,4
218,7
219,1
220,7
221,0
222,2
223,5
224,1
225,1
226,9
227,2
228,7
229,1
230,3
231,2
232,4
233,1
234,4
235,9
236,1
237,9
238,9
239,5
240,5
241,2
242,2
243,7
244,0
245,6
246,9
247,5
248,2
249,4
250,7
251,7
252,0
253,5
254,8
255,9
256,1
257,5
258,7
259,2
260,0
261,0
262,6
263,3
264,2
265,9
266,7
267,8
268,5
269,3
270,0
271,0
272,3
273,0
274,2
275,9
276,0
277,5
278,4
279,1
280,8
281,8
282,1
283,2
284,0
285,8
286,7
287,8
288,3
289,9
290,4
291,7
292,0
293,9
294,0
295,0
296,2
297,2
298,9
299,9
300,2
301,6
302,6
303,5
304,9
305,8
306,6
307,9
308,9
309,6
310,1
311,2
312,9
313,8
314,0
315,9
316,4
317,2
318,8
319,1
320,6
321,4
322,9
323,5
324,5
325,5
326,1
327,6
328,8
329,4
330,8
331,1
332,9
333,8
334,1
335,6
336,2
337,5
338,1
339,7
340,1
341,6
342,5
343,7
344,5
345,1
346,5
347,6
348,1
349,8
350,4
351,2
