ID,POSITION
0,8
1,8
2,9
3,1
4,1
5,3
6,6
7,8
8,5
9,6
10,5
11,1
12,8
13,7
14,5
15,1
16,2
17,0
18,3
19,3
20,7
21,2
22,5
23,0
24,8
25,5
26,6
27,6
28,3
29,3
30,3
31,6
32,5
33,6
34,9
35,4
36,5
37,3
38,4
39,5
40,0
41,4
42,5
43,3
44,6
45,9
46,6
47,0
48,4
49,5
50,4
51,0
52,8
53,7
54,7
55,1
56,0
57,6
58,5
59,6
60,8
61,1
62,5
63,6
64,4
65,7
66,4
67,6
68,9
69,0
70,5
71,4
72,9
73,6
74,3
75,5
76,4
77,9
78,3
79,5
80,5
81,6
82,9
83,6
84,4
85,2
86,3
87,9
88,1
89,0
90,4
91,5
92,0
93,1
94,7
95,3
96,9
97,9
98,5
99,1
100,8
101,6
102,3
103,5
104,1
105,5
106,5
107,4
108,3
109,0
110,8
111,6
112,0
113,5
114,1
115,8
116,1
117,3
118,1
119,6
120,7
121,8
122,0
123,8
124,2
125,0
126,7
127,3
128,5
129,7
130,9
131,1
132,5
133,6
134,6
135,4
136,3
137,5
138,4
139,0
140,1
141,6
142,4
143,6
144,5
145,4
146,8
147,2
148,1
149,6
150,0
151,3
152,4
153,4
154,9
155,5
156,6
157,7
158,5
159,1
160,6
161,8
162,5
163,5
164,5
165,8
166,3
167,5
168,0
169,0
170,4
171,0
172,8
173,6
174,6
175,1
176,8
177,3
178,5
179,5
180,4
181,4
182,4
183,4
184,0
185,4
186,6
187,1
188,5
189,8
190,6
191,8
192,2
193,4
194,4
195,3
196,1
197,2
198,8
199,3
200,3
201,1
202,3
203,2
204,5
205,5
206,6
207,8
208,2
209,5
210,1
211,1
212,0
213,3
214,5
215,3
216,0
217,4
218,7
219,1
220,8
221,3
222,3
223,7
224,1
225,3
226,6
227,2
228,6
229,3
230,1
231,2
232,4
233,3
234,4
235,5
236,1
237,6
238,6
239,6
240,5
241,1
242,0
243,7
244,1
245,6
246,7
247,5
248,1
249,4
250,7
251,5
252,1
253,8
254,5
255,9
256,3
257,5
258,5
259,3
260,0
261,7
262,6
263,1
264,1
265,2
266,5
267,8
268,5
269,3
270,0
271,3
272,3
273,7
274,0
275,9
276,1
277,9
278,4
279,1
280,8
281,5
282,1
283,3
284,0
285,1
286,5
287,8
288,5
289,5
290,4
291,5
292,1
293,6
294,0
295,2
296,1
297,2
298,5
299,5
300,8
301,6
302,6
303,5
304,9
305,8
306,6
307,6
308,9
309,6
310,0
311,0
312,9
313,8
314,1
315,9
316,4
317,1
318,2
319,1
320,6
321,3
322,6
323,5
324,9
325,5
326,1
327,5
328,5
329,4
330,8
331,1
332,7
333,0
334,8
335,6
336,5
337,7
338,1
339,5
340,2
